phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,7.9138925e-14,4.8229497e-15,1.8552096e-13,1.23663e-14,0.05882353,0.05882353,3.9103984e-17,1.9906672e-14,0.05882353,0.05882353,0.05882353,2.2745672e-14,0.05882353,0.05882353,5.942426e-13,1.6862712e-13
Susceptible,0.05,0.05,0.05,0.05,0.05,0.05,6.2979386e-15,0.05,0.05,0.05,0.05,0.05,1.4753913e-14,7.6631357e-16,0.05,0.05,0.05,1.1220155e-15,0.05,0.05,0.05,0.05,0.05,0.05,5.4280575e-14,1.2407581e-14
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.0425562e-12,0.04761905,4.5076065e-12,0.04761905,0.04761905,0.04761905,8.202627e-12,0.04761905,0.04761905,0.04761905,7.286278e-12,0.04761905,0.04761905,0.04761905,9.161611e-11
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,5.387402e-23,0.05882353,0.05882353,3.7908884e-22,0.05882353,0.05882353,2.4408098e-24,7.6687377e-22,1.0010537e-23,0.05882353,0.05882353,2.5436972e-27,1.8138915e-23,0.05882353,0.05882353,0.05882353,2.76385e-23,0.05882353,0.05882353,0.05882353,6.1830307e-22
Susceptible,0.0625,0.0625,0.0625,2.510319e-27,0.0625,2.0164373e-26,0.0625,0.0625,0.0625,0.0625,0.0625,7.478688e-28,5.4977486e-25,4.8126262e-27,2.1103092e-25,0.0625,2.6848646e-31,8.459062e-27,0.0625,0.0625,0.0625,1.1917727e-26,0.0625,0.0625,0.0625,4.8118415e-25
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,5.5148106e-20,6.7902264e-18,1.3319733e-19,3.0493955e-18,0.05882353,1.0712288e-22,3.267045e-19,0.05882353,1.1115617e-24,0.05882353,2.6351575e-19,0.05882353,0.05882353,0.05882353,8.330039e-18
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.07373537e-19,1.022189e-17,3.1978138e-19,0.055555556,0.055555556,5.2938393e-22,4.504517e-19,0.055555556,1.343597e-23,0.055555556,5.759519e-19,0.055555556,0.055555556,0.055555556,8.020071e-18
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.1710162e-14,1.8369515e-15,0.04761905,0.04761905,0.04761905,2.5733496e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.1538592e-13,2.6249717e-14
Susceptible,0.05,0.05,0.05,0.05,0.05,4.2554753e-16,1.0468712e-15,0.05,0.05,0.05,0.05,0.05,0.05,1.1988842e-16,1.4835684e-15,0.05,0.05,2.0242182e-16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2.8616117e-15
Susceptible,0.0625,2.828577e-23,0.0625,0.0625,0.0625,1.3802446e-21,0.0625,0.0625,0.0625,0.0625,0.0625,7.085426e-23,1.6256564e-20,4.0388659e-22,0.0625,0.0625,2.460603e-25,5.031879e-22,0.0625,1.064458e-26,0.0625,7.496134e-22,0.0625,0.0625,0.0625,9.236601e-21
