phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,4.46808e-13,0.04347826,0.04347826,0.04347826,5.955018e-13,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,5.446611e-12
Susceptible,0.051181193,0.051181193,0.051181193,0.051181193,0.051181193,0.051181193,0.051181193,0.0018367124,0.051181193,0.051181193,0.051181193,0.051181193,0.005787781,0.0031417648,0.051181193,0.051181193,0.051181193,0.0042941873,0.051181193,0.0002396349,0.051181193,0.0033017148,0.051181193,0.051181193,0.051181193,0.0089556305
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,8.976279e-14,0.045454547,0.045454547,0.045454547,7.9937853e-14,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,4.604644e-13,0.045454547,5.8371813e-13
Susceptible,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,2.4643171e-11,3.0743844e-10,4.0117937e-11,0.05263158,0.05263158,7.6886284e-13,6.541885e-11,0.05263158,0.05263158,0.05263158,6.189812e-11,0.05263158,0.05263158,0.05263158,3.7309697e-10
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,3.225192e-26,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,8.234425e-28,6.5454363e-25,5.1229867e-27,0.05882353,0.05882353,2.8441634e-31,9.854007e-27,0.05882353,4.9856815e-33,0.05882353,1.3544466e-26,0.05882353,0.05882353,0.05882353,4.717361e-25
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,7.1772163e-28,5.6846323e-25,4.7491037e-27,0.055555556,1.8847676e-25,3.3254209e-31,5.515554e-27,0.055555556,0.055555556,0.055555556,1.3697448e-26,0.055555556,0.055555556,0.055555556,2.9221153e-25
Susceptible,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4.0868444e-11,3.9294873e-10,6.213772e-11,0.05,0.05,0.05,7.10781e-11,0.05,0.05,0.05,0.05,0.05,0.05,9.1867625e-10,3.3733355e-10
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,7.0711225e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.917068e-14,2.3248808e-15,0.04761905,0.04761905,0.04761905,2.4478244e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.2800103e-14
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,2.1991413e-13,1.9046644e-14,0.045454547,0.045454547,0.045454547,1.9543076e-14,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,1.735839e-13
Susceptible,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,1.1984497e-17,0.06666667,0.06666667,0.06666667,0.06666667,3.9438016e-17,1.374013e-18,1.0874076e-16,4.2080134e-18,5.4688302e-17,0.06666667,5.8718438e-21,8.1037354e-18,0.06666667,0.06666667,7.374314e-18,8.2012625e-18,0.06666667,0.06666667,0.06666667,1.1039337e-16
